specimen_id,species,sectionid,basidia_count,min_length,avg_length,max_length,min_width,avg_width,max_width,4s/basidia,3s/basidia,2s/basidia,s/basidia,min_s_length,avg_s_length,max_s_length
30199_2,Amanita sub/am,Phalloideae,,,,,,,,,,,,,,
30199_3,Amanita sub/am,Phalloideae,,,,,,,,,,,,,,
30199_4,Amanita sub/am,Phalloideae,,,,,,,,,,,,,,
30204_2,Amanita sub/am,Phalloideae,,,,,,,,,,,,,,
30204_3,Amanita sub/am,Phalloideae,,,,,,,,,,,,,,
30204_4,Amanita sub/am,Phalloideae,,,,,,,,,,,,,,
30208_2,Amanita aff. citrina,Validae,,,,,,,,,,,,,,
30223_2,Amanita multisquamosa,Amanita,,,,,,,,,,,,,,
30223_3,Amanita multisquamosa,Amanita,,,,,,,,,,,,,,
30224_2,Amanita multisquamosa,Amanita,,,,,,,,,,,,,,
30226_2,Amanita sp NY06,Amanita,,,,,,,,,,,,,,
30230_2,Amanita aff. rubescens,Validae,,,,,,,,,,,,,,
30230_3,Amanita aff. rubescens,Validae,,,,,,,,,,,,,,
30230_4,Amanita aff. rubescens,Validae,,,,,,,,,,,,,,
30230_5,Amanita aff. rubescens,Validae,,,,,,,,,,,,,,
30230_6,Amanita aff. rubescens,Validae,,,,,,,,,,,,,,
30230_7,Amanita aff. rubescens,Validae,,,,,,,,,,,,,,
30230_8,Amanita aff. rubescens,Validae,,,,,,,,,,,,,,
30239_2,Amanita virginiana,Caesareae,,,,,,,,,,,,,,
30249_2,Amanita sp NY06,Amanita,,,,,,,,,,,,,,
30250_2,Amanita coryli,Vaginatae,,,,,,,,,,,,,,
30257_2,Amanita albiceps,Vaginatae,,,,,,,,,,,,,,
30274_2,Amanita sp.,Amidella,,,,,,,,,,,,,,
30280_2,Amanita populiphila,Vaginatae,,,,,,,,,,,,,,
30280_3,Amanita populiphila,Vaginatae,,,,,,,,,,,,,,
30280_4,Amanita populiphila,Vaginatae,,,,,,,,,,,,,,
30280_5,Amanita populiphila,Vaginatae,,,,,,,,,,,,,,
30280_6,Amanita populiphila,Vaginatae,,,,,,,,,,,,,,
30280_7,Amanita populiphila,Vaginatae,,,,,,,,,,,,,,
nan,,,,,,,,,,,,,,,,
nan,31+ species,,,,,,,,,,,,,,,
